"measure_number","measure","financial_year","quarter","year_month","ethnicity","district","region","measure_type","value"
"1.1","ESPI8","2023/24","Sep","2023-09",NA,"Auckland","Northern","Value",66
"1.1","ESPI8","2023/24","Sep","2023-09",NA,"Auckland","Northern","Percent",0.977
"1.1","ESPI8","2023/24","Sep","2023-09",NA,"Bay of Plenty","Te Manawa Taki","Value",23
"1.1","ESPI8","2023/24","Sep","2023-09",NA,"Bay of Plenty","Te Manawa Taki","Percent",0.945
"1.1","ESPI8","2023/24","Sep","2023-09",NA,"Canterbury","Te Waipounamu","Value",1
"1.1","ESPI8","2023/24","Sep","2023-09",NA,"Canterbury","Te Waipounamu","Percent",0.9990000000000001
"1.1","ESPI8","2023/24","Sep","2023-09",NA,"Capital & Coast","Central","Value",0
"1.1","ESPI8","2023/24","Sep","2023-09",NA,"Capital & Coast","Central","Percent",1
"1.1","ESPI8","2023/24","Sep","2023-09",NA,"Counties Manukau","Northern","Value",0
"1.1","ESPI8","2023/24","Sep","2023-09",NA,"Counties Manukau","Northern","Percent",1
"1.1","ESPI8","2023/24","Sep","2023-09",NA,"Hawke's Bay","Central","Value",1
"1.1","ESPI8","2023/24","Sep","2023-09",NA,"Hawke's Bay","Central","Percent",0.998
"1.1","ESPI8","2023/24","Sep","2023-09",NA,"Hutt Valley","Central","Value",0
"1.1","ESPI8","2023/24","Sep","2023-09",NA,"Hutt Valley","Central","Percent",1
"1.1","ESPI8","2023/24","Sep","2023-09",NA,"Lakes","Te Manawa Taki","Value",0
"1.1","ESPI8","2023/24","Sep","2023-09",NA,"Lakes","Te Manawa Taki","Percent",1
"1.1","ESPI8","2023/24","Sep","2023-09",NA,"MidCentral","Central","Value",0
"1.1","ESPI8","2023/24","Sep","2023-09",NA,"MidCentral","Central","Percent",1
"1.1","ESPI8","2023/24","Sep","2023-09",NA,"Nelson Marlborough","Te Waipounamu","Value",1
"1.1","ESPI8","2023/24","Sep","2023-09",NA,"Nelson Marlborough","Te Waipounamu","Percent",0.997
"1.1","ESPI8","2023/24","Sep","2023-09",NA,"Northland","Northern","Value",0
"1.1","ESPI8","2023/24","Sep","2023-09",NA,"Northland","Northern","Percent",1
"1.1","ESPI8","2023/24","Sep","2023-09",NA,"South Canterbury","Te Waipounamu","Value",30
"1.1","ESPI8","2023/24","Sep","2023-09",NA,"South Canterbury","Te Waipounamu","Percent",0.867
"1.1","ESPI8","2023/24","Sep","2023-09",NA,"Southern","Te Waipounamu","Value",4
"1.1","ESPI8","2023/24","Sep","2023-09",NA,"Southern","Te Waipounamu","Percent",0.996
"1.1","ESPI8","2023/24","Sep","2023-09",NA,"Tairāwhiti","Te Manawa Taki","Value",0
"1.1","ESPI8","2023/24","Sep","2023-09",NA,"Tairāwhiti","Te Manawa Taki","Percent",1
"1.1","ESPI8","2023/24","Sep","2023-09",NA,"Taranaki","Te Manawa Taki","Value",0
"1.1","ESPI8","2023/24","Sep","2023-09",NA,"Taranaki","Te Manawa Taki","Percent",1
"1.1","ESPI8","2023/24","Sep","2023-09",NA,"Waikato","Te Manawa Taki","Value",0
"1.1","ESPI8","2023/24","Sep","2023-09",NA,"Waikato","Te Manawa Taki","Percent",1
"1.1","ESPI8","2023/24","Sep","2023-09",NA,"Wairarapa","Central","Value",0
"1.1","ESPI8","2023/24","Sep","2023-09",NA,"Wairarapa","Central","Percent",1
"1.1","ESPI8","2023/24","Sep","2023-09",NA,"Waitematā","Northern","Value",1
"1.1","ESPI8","2023/24","Sep","2023-09",NA,"Waitematā","Northern","Percent",0.9990000000000001
"1.1","ESPI8","2023/24","Sep","2023-09",NA,"West Coast","Te Waipounamu","Value",0
"1.1","ESPI8","2023/24","Sep","2023-09",NA,"West Coast","Te Waipounamu","Percent",1
"1.1","ESPI8","2023/24","Sep","2023-09",NA,"Whanganui","Central","Value",0
"1.1","ESPI8","2023/24","Sep","2023-09",NA,"Whanganui","Central","Percent",1
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"National","National","Value",120
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"National","National","Percent",0.992
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Auckland","Northern","Value",56
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Auckland","Northern","Percent",0.9790000000000001
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Bay of Plenty","Te Manawa Taki","Value",31
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Bay of Plenty","Te Manawa Taki","Percent",0.938
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Canterbury","Te Waipounamu","Value",0
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Canterbury","Te Waipounamu","Percent",1
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Capital & Coast","Central","Value",0
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Capital & Coast","Central","Percent",1
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Counties Manukau","Northern","Value",0
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Counties Manukau","Northern","Percent",1
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Hawke's Bay","Central","Value",0
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Hawke's Bay","Central","Percent",1
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Hutt Valley","Central","Value",0
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Hutt Valley","Central","Percent",1
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Lakes","Te Manawa Taki","Value",0
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Lakes","Te Manawa Taki","Percent",1
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"MidCentral","Central","Value",0
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"MidCentral","Central","Percent",1
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Nelson Marlborough","Te Waipounamu","Value",1
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Nelson Marlborough","Te Waipounamu","Percent",0.997
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Northland","Northern","Value",0
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Northland","Northern","Percent",1
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"South Canterbury","Te Waipounamu","Value",30
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"South Canterbury","Te Waipounamu","Percent",0.857
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Southern","Te Waipounamu","Value",2
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Southern","Te Waipounamu","Percent",0.998
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Tairāwhiti","Te Manawa Taki","Value",0
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Tairāwhiti","Te Manawa Taki","Percent",1
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Taranaki","Te Manawa Taki","Value",0
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Taranaki","Te Manawa Taki","Percent",1
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Waikato","Te Manawa Taki","Value",0
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Waikato","Te Manawa Taki","Percent",1
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Wairarapa","Central","Value",0
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Wairarapa","Central","Percent",1
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Waitematā","Northern","Value",0
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Waitematā","Northern","Percent",1
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"West Coast","Te Waipounamu","Value",0
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"West Coast","Te Waipounamu","Percent",1
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Whanganui","Central","Value",0
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Whanganui","Central","Percent",1
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"National","National","Value",141
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"National","National","Percent",0.992
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Auckland","Northern","Value",97
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Auckland","Northern","Percent",0.9690000000000001
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Bay of Plenty","Te Manawa Taki","Value",11
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Bay of Plenty","Te Manawa Taki","Percent",0.982
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Canterbury","Te Waipounamu","Value",0
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Canterbury","Te Waipounamu","Percent",1
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Capital & Coast","Central","Value",1
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Capital & Coast","Central","Percent",0.9990000000000001
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Counties Manukau","Northern","Value",0
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Counties Manukau","Northern","Percent",1
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Hawke's Bay","Central","Value",0
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Hawke's Bay","Central","Percent",1
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Hutt Valley","Central","Value",0
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Hutt Valley","Central","Percent",1
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Lakes","Te Manawa Taki","Value",0
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Lakes","Te Manawa Taki","Percent",1
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"MidCentral","Central","Value",0
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"MidCentral","Central","Percent",1
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Nelson Marlborough","Te Waipounamu","Value",3
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Nelson Marlborough","Te Waipounamu","Percent",0.993
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Northland","Northern","Value",0
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Northland","Northern","Percent",1
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"South Canterbury","Te Waipounamu","Value",23
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"South Canterbury","Te Waipounamu","Percent",0.919
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Southern","Te Waipounamu","Value",6
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Southern","Te Waipounamu","Percent",0.9940000000000001
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Tairāwhiti","Te Manawa Taki","Value",0
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Tairāwhiti","Te Manawa Taki","Percent",1
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Taranaki","Te Manawa Taki","Value",0
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Taranaki","Te Manawa Taki","Percent",1
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Waikato","Te Manawa Taki","Value",0
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Waikato","Te Manawa Taki","Percent",1
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Wairarapa","Central","Value",0
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Wairarapa","Central","Percent",1
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Waitematā","Northern","Value",0
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Waitematā","Northern","Percent",1
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"West Coast","Te Waipounamu","Value",0
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"West Coast","Te Waipounamu","Percent",1
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Whanganui","Central","Value",0
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Whanganui","Central","Percent",1
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"National","National","Value",106
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"National","National","Percent",0.992
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Auckland","Northern","Value",58
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Auckland","Northern","Percent",0.975
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Bay of Plenty","Te Manawa Taki","Value",0
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Bay of Plenty","Te Manawa Taki","Percent",1
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Canterbury","Te Waipounamu","Value",0
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Canterbury","Te Waipounamu","Percent",1
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Capital & Coast","Central","Value",0
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Capital & Coast","Central","Percent",1
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Counties Manukau","Northern","Value",0
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Counties Manukau","Northern","Percent",1
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Hawke's Bay","Central","Value",0
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Hawke's Bay","Central","Percent",1
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Hutt Valley","Central","Value",0
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Hutt Valley","Central","Percent",1
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Lakes","Te Manawa Taki","Value",0
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Lakes","Te Manawa Taki","Percent",1
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"MidCentral","Central","Value",0
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"MidCentral","Central","Percent",1
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Nelson Marlborough","Te Waipounamu","Value",0
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Nelson Marlborough","Te Waipounamu","Percent",1
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Northland","Northern","Value",0
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Northland","Northern","Percent",1
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"South Canterbury","Te Waipounamu","Value",30
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"South Canterbury","Te Waipounamu","Percent",0.845
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Southern","Te Waipounamu","Value",17
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Southern","Te Waipounamu","Percent",0.98
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Tairāwhiti","Te Manawa Taki","Value",0
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Tairāwhiti","Te Manawa Taki","Percent",1
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Taranaki","Te Manawa Taki","Value",0
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Taranaki","Te Manawa Taki","Percent",1
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Waikato","Te Manawa Taki","Value",0
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Waikato","Te Manawa Taki","Percent",1
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Wairarapa","Central","Value",0
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Wairarapa","Central","Percent",1
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Waitematā","Northern","Value",0
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Waitematā","Northern","Percent",1
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"West Coast","Te Waipounamu","Value",0
